8.784740661276020379e-01,9.999999000401640359e-01,9.337309538510679685e-01,8.823364189186619910e-01,9.999999950958560202e-01,9.999999999884680024e-01,9.999848047394960249e-01,9.999995306001999706e-01,9.999989270720780477e-01,9.999965224125979546e-01,9.999966090209400083e-01,9.999859879953310049e-01,1.000000000000000000e+00,8.784062605231900411e-01,9.299431745783990344e-01,7.845931532601280178e-01,9.567688887630689809e-01,9.694197099210080104e-01
8.784740663851302589e-01,9.999998999167580838e-01,9.337309538484964699e-01,8.823364189188271922e-01,9.999999950958554651e-01,9.999999999884678914e-01,9.999848047394960249e-01,9.999995306001981943e-01,9.999989270720776036e-01,9.999965224125977326e-01,9.999966090189743584e-01,9.999859879953311159e-01,1.000000000000000000e+00,8.784062607808085232e-01,9.299431745743458322e-01,7.845931532321758217e-01,9.567688887492986627e-01,9.694197099386496763e-01
8.784740665966317419e-01,9.999998999202242000e-01,9.337309538467212233e-01,8.823364189189627504e-01,9.999999950958550210e-01,9.999999999884677804e-01,9.999848047394960249e-01,9.999995306001960849e-01,9.999989270720772705e-01,9.999965224125973995e-01,9.999966090173633138e-01,9.999859879953312269e-01,1.000000000000000000e+00,8.784062609922560494e-01,9.299431745709147989e-01,7.845931532168324285e-01,9.567688887396916808e-01,9.694197099538969242e-01
8.784740667730932540e-01,9.999998999313447490e-01,9.337309538451703528e-01,8.823364189190755491e-01,9.999999950958546879e-01,9.999999999884676694e-01,9.999848047394960249e-01,9.999995306001938644e-01,9.999989270720768264e-01,9.999965224125970664e-01,9.999966090160223864e-01,9.999859879953313380e-01,1.000000000000000000e+00,8.784062611686744848e-01,9.299431745680452055e-01,7.845931532045415935e-01,9.567688887325964675e-01,9.694197099654789929e-01
8.784740669215037601e-01,9.999998999420020018e-01,9.337309538437716938e-01,8.823364189191704732e-01,9.999999950958543549e-01,9.999999999884674473e-01,9.999848047394960249e-01,9.999995306001915329e-01,9.999989270720763823e-01,9.999965224125968444e-01,9.999966090148973974e-01,9.999859879953315600e-01,1.000000000000000000e+00,8.784062613170512401e-01,9.299431745656213666e-01,7.845931531949543736e-01,9.567688887273025911e-01,9.694197099742040136e-01
8.784740670452620970e-01,9.999998999514552178e-01,9.337309538425072608e-01,8.823364189192494100e-01,9.999999950958541328e-01,9.999999999884672253e-01,9.999848047394960249e-01,9.999995306001890905e-01,9.999989270720759382e-01,9.999965224125966223e-01,9.999966090139622565e-01,9.999859879953317821e-01,1.000000000000000000e+00,8.784062614407838199e-01,9.299431745635892144e-01,7.845931531877597953e-01,9.567688887235423767e-01,9.694197099804651163e-01
8.784740671488475705e-01,9.999998999598301852e-01,9.337309538413581800e-01,8.823364189193154683e-01,9.999999950958539108e-01,9.999999999884670032e-01,9.999848047394960249e-01,9.999995306001865369e-01,9.999989270720753831e-01,9.999965224125964003e-01,9.999966090131824359e-01,9.999859879953320041e-01,1.000000000000000000e+00,8.784062615443500865e-01,9.299431745618780276e-01,7.845931531824750227e-01,9.567688887209941928e-01,9.694197099847750021e-01
8.784740672315720644e-01,9.999998999670546285e-01,9.337309538403344433e-01,8.823364189193682039e-01,9.999999950958536887e-01,9.999999999884668922e-01,9.999848047394960249e-01,9.999995306001838724e-01,9.999989270720748280e-01,9.999965224125961782e-01,9.999966090125632645e-01,9.999859879953321151e-01,1.000000000000000000e+00,8.784062616270620349e-01,9.299431745604996857e-01,7.845931531791193736e-01,9.567688887196631464e-01,9.694197099871230128e-01
8.784740673016514512e-01,9.999998999735580929e-01,9.337309538393911978e-01,8.823364189194126128e-01,9.999999950958535777e-01,9.999999999884667812e-01,9.999848047394960249e-01,9.999995306001812079e-01,9.999989270720742729e-01,9.999965224125959562e-01,9.999966090120417928e-01,9.999859879953322261e-01,1.000000000000000000e+00,8.784062616971326509e-01,9.299431745593231824e-01,7.845931531768932654e-01,9.567688887190367586e-01,9.694197099883324897e-01
8.784740673597580818e-01,9.999998999793514587e-01,9.337309538385295538e-01,8.823364189194493612e-01,9.999999950958534667e-01,9.999999999884666702e-01,9.999848047394960249e-01,9.999995306001785433e-01,9.999989270720738288e-01,9.999965224125957342e-01,9.999966090116123585e-01,9.999859879953323372e-01,1.000000000000000000e+00,8.784062617552341745e-01,9.299431745583385256e-01,7.845931531756931143e-01,9.567688887190420877e-01,9.694197099885196733e-01
